"StratifiedMC: 3.0393+-5E-06"
-0.958839535577614 -0.771242199941185
-0.648561924415902 -0.898344220720858
-0.720242746422413 -0.834081219664813
-0.661352772253497 -0.838124043232819
-0.509259626215445 -0.871942351832726
-0.616934167915924 -0.837444386944091
-0.608045003223487 -0.826404806960563
-0.580550288797205 -0.819385991544119
-0.57406162355066 -0.822702386534023
-0.575054335835764 -0.818444085108279
-0.573878328197521 -0.819948057285559
-0.573530601371792 -0.813935549066387
-0.570181332419391 -0.825709440162212
-0.569965013292696 -0.823195725371512
-0.568516920123857 -0.823301322133857
-0.568185255947274 -0.826733510247584
-0.568266327197036 -0.822012961790161
-0.567696954662698 -0.822371300971148
-0.567175443884383 -0.820420342897755
-0.565549795125263 -0.825519151020367
-0.564299565665052 -0.826146972761296
-0.563864518098693 -0.827641720559543
-0.563770534628043 -0.82770770347796
-0.563896152201405 -0.826837209749411
-0.563913351966197 -0.825886906951249
-0.56374822697377 -0.827519171692702
-0.563785973821981 -0.826915538887425
-0.563527744185559 -0.827107999331455
-0.563506377877743 -0.82491845973196
-0.563675078344637 -0.82706946764616
-0.563666078128537 -0.825000465122139
-0.563687771671296 -0.824619262233869
-0.563530919189386 -0.826642997815035
-0.563603119198606 -0.827823964964269
-0.563720012162207 -0.821251628738974
-0.563428933605258 -0.825460762522776
-0.563396873127323 -0.827411129895731
-0.56339519661356 -0.826786586197445
-0.563406658174553 -0.82580641225178
-0.563405683297087 -0.826694558595834
-0.563398877186649 -0.827080591846848
-0.563393437356613 -0.826945736730883
-0.563363975638898 -0.82452631747961
-0.563357553465282 -0.824347671326965
-0.563359226439575 -0.82754829838605
-0.563380758912187 -0.824432467436154
-0.563373295102915 -0.824590681219152
-0.563361342483464 -0.82698449665933
-0.563381883273307 -0.825046886077347
-0.563288505823406 -0.828108133729976
-0.563282671788694 -0.820548459763923
-0.563060201579253 -0.822135863510024
-0.56281047213034 -0.82414076906749
-0.566327666410834 -0.812820859006173
-0.562331730430664 -0.831494121573746
-0.554332618483221 -0.836012029449228
-0.55201400168574 -0.837183650110672
-0.552650855679094 -0.834072301365309
-0.552699812323381 -0.833381003158766
-0.5527320250535 -0.833151326751771
-0.552713942667528 -0.835229314297646
-0.552645535094727 -0.83473998313583
-0.552535528832344 -0.832193589420133
-0.552514931517021 -0.835438142264815
-0.55254605972223 -0.83386106212032
-0.552609159462291 -0.835863734690031
-0.55250286686931 -0.833991097343645
-0.552555783003785 -0.835130791250401
-0.55225577358829 -0.834002921407782
-0.552473774752449 -0.832040440208407
-0.552367480108088 -0.833410654731512
-0.552327100240826 -0.833102649001874
-0.552336391428205 -0.833617975010668
-0.552333334296589 -0.833664584767881
-0.552337228174828 -0.833934700548047
-0.552332917750595 -0.833270140184717
-0.552332582643854 -0.833050140566249
-0.552309820237946 -0.833214204911297
-0.552309114623868 -0.833745527326644
-0.552318462262937 -0.833679442753095
-0.552314460672473 -0.83395876617759
-0.55232066119165 -0.833754026091703
-0.552311075506319 -0.833960467753048
-0.55233803771101 -0.832306334661681
-0.552278266707803 -0.833406488206223
-0.552185610978285 -0.834962579828699
-0.55200423949566 -0.8342839379558
-0.552087533609364 -0.833871172495723
-0.552082313132255 -0.833840022030433
-0.552121019301146 -0.833761814415662
-0.552108700155673 -0.833747293070818
-0.552103056747489 -0.833781918808617
-0.552102176973233 -0.833741479490641
-0.552098380482415 -0.83377096587212
-0.552073068865856 -0.833777176567128
-0.552113171486889 -0.833659444484245
-0.552006402328887 -0.833818802764122
-0.552110636721516 -0.833136428607819
-0.552093531381146 -0.832434368866149
-0.551890573246572 -0.834152466089186
-0.552280254064742 -0.831165634924725
-0.550901010216022 -0.835392265765878
-0.549933697027942 -0.840535923524253
-0.550225203025289 -0.837301511045278
-0.550753936834995 -0.842684734881418
-0.550454664363617 -0.836954646915293
-0.550727929713023 -0.829403954660533
